"Satellites","Width","Dark","GoodSpine"
8,28.3,0,0
0,22.5,1,0
9,26,0,1
0,24.8,1,0
4,26,1,0
0,23.8,0,0
0,26.5,0,1
0,24.7,1,1
0,23.7,0,1
0,25.6,1,0
0,24.3,1,0
0,25.8,0,0
11,28.2,0,0
0,21,1,1
14,26,0,1
8,27.1,0,1
1,25.2,0,0
1,29,0,0
0,24.7,1,0
5,27.4,0,0
4,23.2,0,1
3,25,0,1
1,22.5,0,1
2,26.7,1,0
3,25.8,1,0
0,26.2,1,0
3,28.7,0,0
5,26.8,0,1
0,27.5,1,0
0,24.9,0,0
4,29.3,0,1
0,25.8,0,0
0,25.7,0,1
8,25.7,0,1
5,26.7,0,1
0,23.7,1,0
0,26.8,0,0
6,27.5,0,0
0,23.4,1,0
6,27.9,0,0
3,27.5,1,0
5,26.1,0,1
6,27.7,0,1
5,30,0,1
9,28.5,1,1
4,28.9,1,0
6,28.2,0,0
4,25,0,0
3,28.5,0,0
3,30.3,0,1
5,24.7,1,0
5,27.7,0,0
6,27.4,0,1
4,22.9,0,0
5,25.7,0,1
15,28.3,0,0
3,27.2,0,0
3,26.2,1,0
0,27.8,0,1
0,25.5,1,0
0,27.1,1,0
5,24.5,1,0
3,27,1,1
5,26,0,0
1,28,0,0
8,30,0,0
10,29,0,0
0,26.2,0,0
0,26.5,0,1
3,26.2,0,0
7,25.6,1,0
1,23,1,0
0,23,1,0
6,25.4,0,0
0,24.2,1,0
0,22.9,0,1
3,26,1,1
4,25.4,0,0
0,25.7,1,0
5,25.1,0,0
0,24.5,1,1
0,27.5,1,0
0,23.1,1,0
4,25.9,1,1
0,25.8,0,0
3,27,1,0
0,28.5,0,0
0,25.5,1,1
0,23.5,1,0
0,24,0,1
5,29.7,0,1
0,26.8,0,1
0,26.7,1,0
0,28.7,0,1
0,23.1,1,0
1,29,0,1
0,25.5,1,0
1,26.5,1,0
1,24.5,1,0
1,28.5,1,0
1,28.2,0,0
1,24.5,0,0
1,27.5,0,0
4,24.7,0,1
1,25.2,0,1
1,27.3,1,0
1,26.3,0,0
1,29,0,0
2,25.3,0,0
4,26.5,0,0
3,27.8,0,0
6,27,0,0
0,25.7,1,0
2,25,0,0
2,31.9,0,0
0,23.7,1,0
12,29.3,1,0
0,22,1,0
5,25,0,0
6,27,1,0
6,23.8,1,0
2,30.2,0,1
0,26.2,1,0
2,24.2,0,0
3,27.4,0,0
0,25.4,0,1
3,28.4,1,0
4,22.5,1,0
2,26.2,0,0
6,24.9,0,1
6,24.5,0,1
0,25.1,0,0
4,28,0,1
10,25.8,1,0
7,27.9,0,0
0,24.9,0,0
5,28.4,0,1
5,27.2,1,0
6,25,0,1
6,27.5,0,0
7,33.5,0,1
3,30.5,0,0
3,29,1,0
0,24.3,0,1
0,25.8,0,0
8,25,1,0
4,31.7,0,1
4,29.5,0,0
10,24,1,0
9,30,0,0
4,27.6,0,0
0,26.2,0,0
0,23.1,0,1
0,22.9,0,1
0,24.5,1,0
4,24.7,0,0
0,28.3,0,0
2,23.9,0,0
0,23.8,1,0
4,29.8,1,1
4,26.5,0,0
3,26,0,0
8,28.2,0,0
0,25.7,1,0
7,26.5,0,0
0,25.8,0,0
0,24.1,1,0
2,26.2,1,0
3,26.1,1,0
4,29,1,0
0,28,0,1
0,27,1,0
0,24.5,0,1
